,token_index,valuations
1352,1252,64.3155376074821
11659,5807,55.20016394438869
9815,4967,60.131747944620656
3968,2477,85.43047970624912
5674,3217,40.49612134175908
17214,8197,59.08492018871823
20049,9440,40.81436453854917
9524,4843,57.14138286902818
3144,2110,113.04343512211324
3050,2061,67.18044587136336
1740,1445,45.99297113350224
5641,3201,52.08856343538781
10872,5431,50.71287842915308
5670,3215,36.93273178545439
8936,4579,66.01593297288446
9680,4924,76.75225157839168
6377,3510,44.143577706723306
16947,8080,32.330005067920695
20362,9567,35.97773947211539
12871,6314,62.51920369507815
21208,9934,67.83917011812923
18334,8686,238.03655477372666
13563,6603,53.20922707456651
4708,2805,39.88915240242784
6308,3481,61.592092370546936
17581,8376,40.465442781916124
15315,7342,73.81554909571986
11520,5731,52.57097708624087
20409,9589,32.55816074947069
3483,2259,65.44692301208545
11045,5518,51.66693963028882
8776,4509,39.87426278476437
20984,9847,86.91241463264174
10382,5220,69.50646083617613
3025,2049,85.53898383463411
12348,6068,45.08382472613539
14338,6875,58.01051616715665
18228,8643,67.51837828540931
18540,8786,60.01378052373343
1725,1436,48.53760187263998
10544,5285,63.259909238955856
7464,3955,51.945339611568556
13612,6621,46.86971530388041
397,518,46.78021494192427
5787,3258,47.94566152992195
4187,2567,53.940990762602496
4289,2616,159.3482175755663
2175,1667,48.903046622147826
14002,6746,51.64636322963253
15029,7209,82.28934946057188
7889,4131,59.40218032275254
15375,7375,63.92147963120175
5666,3213,30.46822300233407
14197,6825,25.33491083626643
7296,3875,55.80648001479125
8910,4563,46.95438411894321
20084,9455,55.31156289498563
20033,9435,41.34388412583553
5120,2976,57.692252429206576
10244,5165,53.94096377153909
17858,8481,47.50654648082906
8962,4596,-40.57384960084073
17323,8252,52.66459832550515
13733,6654,85.43382692547561
6276,3465,45.367595938545435
9220,4729,103.96461118480647
1447,1315,61.71217454684984
13130,6421,50.556740877589164
2172,1666,44.39408275792596
10091,5097,45.37878167386464
4157,2552,32.096427085519224
1284,1191,52.278020326709225
18162,8608,44.47383962584877
3670,2348,64.0216699497646
8210,4252,35.23998820741849
17937,8517,87.18602678634483
19998,9416,44.08153039127967
8375,4327,82.77436142401507
14961,7170,74.63715055344892
10215,5153,49.005775041039215
12999,6374,56.96566893570605
9393,4800,31.29707842143273
7043,3782,17.144498642269866
8744,4488,54.38110672908044
12048,5962,54.03611727206879
4389,2654,35.59747658917422
17564,8370,48.79472321609575
1324,1232,84.67505715337137
17397,8285,45.6927687810354
20337,9552,43.55390730750639
746,773,48.403233539451776
9728,4933,52.11078040072891
1591,1380,94.46578266281307
722,750,63.68251269519118
21166,9914,60.36223449869675
300,445,59.344366281236944
6415,3528,58.356683694396395
15943,7636,52.12265803854092
3177,2119,63.93773296488871
3063,2067,55.68955217144497
5999,3352,39.30827958661803
5189,2997,52.481662517521784
233,383,52.69052042772961
20046,9438,96.8331526209272
5809,3268,62.34940972091118
1545,1361,71.14744141003081
12279,6051,36.70801475469773
1373,1263,62.472489202408156
20539,9660,27.964996928203277
15304,7335,23.0619136267141
20757,9749,105.40691770772474
9864,4991,49.563464548666445
13990,6741,63.97862239321614
7237,3852,75.61678340960543
12452,6115,52.885306479015014
10304,5193,44.97228190522287
13348,6531,53.26735743879942
10866,5429,28.100156090532835
8125,4219,41.75242583950478
14403,6895,46.60875429172546
2816,1936,50.351136177538365
15284,7323,51.63192273893094
17558,8365,118.12190171509127
16877,8050,42.26127865945756
13866,6697,41.387670537344036
20452,9615,-86.46329020684573
10533,5280,60.88346370006212
11186,5586,58.42076471925691
2456,1780,67.73120328723326
15293,7326,42.98240126102911
18496,8756,36.5941903216883
12007,5946,42.71238369320446
3532,2289,41.610747951230564
16810,8018,52.047745447920306
14153,6807,60.59794713352488
3181,2122,59.46282822363776
9310,4773,53.17889009921049
19961,9396,53.31324289899845
10826,5409,71.16703374450856
15905,7622,67.58272462228081
18742,8878,78.82992485954594
20663,9709,48.297375207672644
18956,8951,69.86631115049414
18692,8851,114.85574559046768
12922,6338,46.49368281882221
728,755,325.6885576128104
10043,5074,50.3031819071972
5937,3329,31.992198849913393
12710,6241,159.80879666330702
9619,4903,54.77419341994607
15431,7405,29.68221873115766
11370,5670,73.06962039034488
10108,5105,34.89300063785015
4559,2733,35.663776553514595
2004,1573,62.43975974653648
1147,1091,59.27945970125978
541,622,26.59516592050221
7624,4021,88.71338282372733
13053,6385,38.71762756519627
15597,7486,35.82309007123632
5523,3159,76.02047841916351
6641,3617,46.35770877831868
10422,5230,127.81380434924449
17560,8366,54.2253382937875
15422,7403,182.3021882850618
2246,1700,48.69987934670928
3827,2409,59.175984071418554
17384,8282,70.56421539660045
12467,6122,50.73745544962151
16337,7825,65.35361070878668
7063,3790,48.63608878826261
17988,8536,51.7788891447305
4384,2653,60.888712168268455
16263,7789,57.650390947999426
9075,4640,91.71212597749752
8110,4210,44.80430441159831
12503,6134,60.78514711842166
17462,8321,58.195683505790555
5225,3008,56.5249292097061
19724,9293,70.70960271412554
7715,4059,34.90040211176188
20215,9507,84.11561226675997
17917,8510,55.24702041642456
10720,5361,112.29660982302136
17079,8144,40.61332111715029
9218,4727,49.596413042000904
1914,1520,43.37031336856012
10176,5144,37.71679523143848
18073,8573,65.12215897256709
2180,1672,44.24767500356171
14275,6836,45.30290422003441
14412,6908,47.24763566054395
692,718,47.58939267016393
11882,5891,112.19741070686769
11181,5583,105.7382080546983
1426,1290,45.150633948009215
8758,4496,29.14074372134371
1354,1253,56.30627992779716
12371,6077,50.43133710144048
1688,1423,65.81697988055345
6199,3431,48.357517322185345
1576,1372,60.60393536337432
3042,2057,69.60997006055106
